Iteration;Period;Output;Value;Type
"4";"15";OSUPREC;346.27609;Total
"4";"15";OVOLREC;36644.00897;Total
"4";"15";OSUPPL;0.00000;Total
"4";"15";VOLINVENT;124009.42120;Total
"9";"15";OSUPREC;346.27609;Total
"9";"15";OVOLREC;36644.00897;Total
"9";"15";OSUPPL;0.00000;Total
"9";"15";VOLINVENT;124009.42120;Total
"4";"16";OSUPREC;359.65831;Total
"4";"16";OVOLREC;36612.50927;Total
"4";"16";OSUPPL;0.00000;Total
"4";"16";VOLINVENT;121416.93674;Total
"9";"16";OSUPREC;359.65831;Total
"9";"16";OVOLREC;36612.50927;Total
"9";"16";OSUPPL;0.00000;Total
"9";"16";VOLINVENT;121416.93674;Total
"4";"17";OSUPREC;304.89531;Total
"4";"17";OVOLREC;36592.48942;Total
"4";"17";OSUPPL;0.00000;Total
"4";"17";VOLINVENT;118383.02366;Total
"9";"17";OSUPREC;304.89531;Total
"9";"17";OVOLREC;36592.48942;Total
"9";"17";OSUPPL;0.00000;Total
"9";"17";VOLINVENT;118383.02366;Total
"4";"18";OSUPREC;344.73216;Total
"4";"18";OVOLREC;36489.61638;Total
"4";"18";OSUPPL;0.00000;Total
"4";"18";VOLINVENT;116866.97604;Total
"9";"18";OSUPREC;344.73216;Total
"9";"18";OVOLREC;36489.61638;Total
"9";"18";OSUPPL;0.00000;Total
"9";"18";VOLINVENT;116866.97604;Total
"4";"19";OSUPREC;358.41795;Total
"4";"19";OVOLREC;36469.45384;Total
"4";"19";OSUPPL;0.00000;Total
"4";"19";VOLINVENT;115684.92042;Total
"9";"19";OSUPREC;358.41795;Total
"9";"19";OVOLREC;36469.45384;Total
"9";"19";OSUPPL;0.00000;Total
"9";"19";VOLINVENT;115684.92042;Total
"4";"20";OSUPREC;360.35839;Total
"4";"20";OVOLREC;36458.30856;Total
"4";"20";OSUPPL;0.00000;Total
"4";"20";VOLINVENT;114654.83312;Total
"5";"1";OSUPREC;230.60871;Total
